"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
2243,5,3,5,1,1,1,1,1,2,1,1,1,1
2244,5,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2245,5,7,5,5,1,1,1,1,1,1,1,1,1
2246,5,1,5,1,1,1,1,1,1,1,1,1,1
2247,5,1,3,1,1,1,1,1,1,1,1,1,1
2248,1,1,-5,1,1,1,1,1,1,1,1,3,1
2249,5,5,5,3,3,1,1,4,1,1,1,1,1
2250,7,5,4,1,3,4,3,4,1,1,1,1,1
2251,7,3,3,4,1,1,1,1,1,1,2,1,3
2252,7,3,3,3,3,3,3,3,1,1,1,1,1
2253,7,3,4,3,4,4,4,4,4,7,4,4,4
2254,8,5,5,4,4,7,1,1,1,1,1,1,1
2255,4,1,1,1,1,1,1,1,1,7,1,1,1
2256,1,1,1,1,3,1,1,1,-5,1,-5,-5,-5
2257,7,5,5,5,5,3,7,1,4,-5,3,5,4
2258,3,5,5,5,5,7,1,1,1,1,7,1,1
2259,7,5,7,1,1,1,1,1,1,1,-5,-5,-5
2260,7,5,7,5,5,7,4,1,1,1,1,4,1
2261,1,3,1,3,7,7,6,7,7,7,7,7,5
2262,7,3,3,4,3,3,7,3,3,3,3,3,3
2263,3,5,5,5,5,1,1,1,1,8,8,8,8
2264,3,1,1,2,1,1,1,1,1,1,1,3,1
2265,7,5,5,5,3,3,4,7,4,5,4,3,5
2266,3,5,5,5,5,1,1,3,1,7,1,7,7
2267,7,4,4,4,3,4,4,4,4,4,3,4,4
2268,7,5,1,1,3,3,3,4,3,3,1,1,3
2269,3,1,3,1,3,1,1,1,1,1,1,1,1
2270,7,1,1,1,1,1,1,1,1,1,2,1,1
2271,7,1,1,1,1,1,1,1,1,1,1,1,1
2272,7,1,5,1,1,1,8,8,8,8,8,8,8
2273,3,3,3,3,5,5,5,1,1,1,1,1,1
2274,5,7,3,3,3,1,1,1,1,1,1,2,1
2275,5,3,1,1,1,1,1,1,1,1,1,1,1
2276,2,5,3,1,1,3,5,1,1,8,8,8,8
2277,1,5,1,1,1,1,1,1,1,1,1,1,1
2278,5,1,1,1,3,3,1,1,4,4,7,4,4
2279,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2280,5,4,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2281,5,4,4,7,4,4,4,4,4,4,4,4,4
2282,5,1,5,1,1,1,1,1,1,-5,-5,-5,1
2283,6,1,3,3,8,8,8,3,1,1,1,1,1
2284,5,3,3,1,1,1,1,1,1,1,2,1,1
2285,5,1,1,1,1,1,1,1,1,1,1,1,1
2286,5,5,5,5,5,5,1,5,1,2,3,1,1
2287,5,1,1,1,1,1,1,1,2,1,2,1,1
2288,5,5,5,5,1,1,1,1,1,1,1,1,1
2289,5,3,2,1,1,1,1,1,2,1,1,1,4
2290,5,1,1,1,5,5,1,1,1,1,1,1,1
2291,1,5,5,5,1,5,5,7,3,1,1,1,1
2292,5,1,5,1,1,5,1,1,3,1,1,1,1
2293,1,5,3,3,1,1,1,1,1,1,1,1,1
2294,5,5,5,5,1,2,1,5,1,1,3,1,4
2295,5,1,1,1,1,1,1,2,1,1,1,1,1
2296,5,5,3,1,1,1,1,1,5,5,1,1,1
2297,5,1,4,4,1,4,4,7,7,1,1,-5,-5
2298,5,1,1,1,2,1,1,1,1,1,1,1,1
2299,5,5,1,1,1,1,1,1,4,2,2,2,1
2300,1,5,5,1,1,1,1,1,1,1,1,1,1
2301,5,5,1,1,5,1,1,1,4,4,4,4,4
2302,1,5,1,5,5,1,1,1,1,1,1,1,1
2303,1,5,5,1,1,1,-5,-5,-5,-5,-5,-5,-5
2304,1,1,1,1,1,1,1,1,1,1,1,3,1
2305,1,1,1,1,1,1,1,1,1,2,1,1,1
2306,1,5,1,1,1,1,1,1,1,1,1,1,1
2307,1,1,5,5,1,6,1,1,3,1,1,-5,-5
2308,6,4,4,4,4,4,4,4,4,4,4,4,4
2309,3,3,3,3,1,1,3,1,7,7,3,-5,1
2310,7,5,5,1,1,7,3,1,1,6,1,1,1
2311,6,1,4,4,4,4,4,1,1,4,4,4,4
2312,1,1,1,1,1,1,1,1,1,1,1,1,1
2313,5,1,2,4,3,2,2,1,1,1,1,1,1
